,Title,Source,Link,Excerpt,RawText,Tags,Date,PDF
0,Tunisia: Further Information: Ex-Minister Sentenced to Ten Years in Prison: Noureddine Bhiri,AI Hungary,https://www.amnesty.org/en/documents/mde30/8708/2024/en/,,"Which language would you like to use this site in? On 18 October 2024, the Criminal Chamber of the Court of First Instance in Tunis sentenced Ennahdha leader and former justice minister Noureddine Bhiri to ten years in prison on the basis of a social media post attributed to him and which he denied writing. Noureddine Bhiri was accused of “trying to change the form of the government and inciting people against each other” under Article 72 of the Tunisian penal code. Noureddine Bhiri who has spent 18 months in arbitrary detention in the Mornaguia prison is being further punished simply for his peaceful political opposition. The Tunisian authorities must immediately release him and quash his conviction and sentence as his imprisonment is solely based on the peaceful exercise of his human rights. Every year, our global community comes together to fight injustice and support people whose human rights are under threat. Join the Write for Rights campaign and demand justice by calling on decision makers to do the right thing. If you are talented and passionate about human rights then Amnesty International wants to hear from you. © 2024 Amnesty International","['\nCampaigns\n', '\nCensorship and Freedom of Expression\n', '\nDetention\n', '\nMiddle East and North Africa\n', '\nTorture and other ill-treatment\n', '\nTunisia\n', '\nUrgent Action\n']",,True
0,USA: Alabama’s sixth execution of the year,AI Hungary,https://www.amnesty.org/en/documents/amr51/8710/2024/en/,,"Which language would you like to use this site in? Alabama has scheduled Carey Grayson to be executed on 21 November 2024. In 1996, he became the last of four young males to be convicted of a 1994 murder. At the four separate trials, the prosecutor used mutually incompatible theories, claiming each defendant was the most culpable. In 2004, Alabama told the US Supreme Court that Carey Grayson was not the most culpable. His is the sole death sentence to survive on appeal. He was 19 at the time of the crime, emerging from a childhood marked by abuse, neglect and bipolar disorder. We urge the Governor to commute his sentence. Every year, our global community comes together to fight injustice and support people whose human rights are under threat. Join the Write for Rights campaign and demand justice by calling on decision makers to do the right thing. If you are talented and passionate about human rights then Amnesty International wants to hear from you. © 2024 Amnesty International","['\nAmericas\n', '\nCampaigns\n', '\nDeath Penalty\n', '\nNorth America\n', '\nUnited States of America\n', '\nUrgent Action\n']",,True
0,Honduras: Justice for water defender killed,AI Hungary,https://www.amnesty.org/en/documents/amr37/8705/2024/en/,,"Which language would you like to use this site in? On Saturday, 14th September, environmental defender and coordinator of the Municipal Committee for the Defence of Common and Public Assets (CMDBCPT) Juan López was murdered as he was leaving his work as a community and religious leader in the parish of San Isidro Labrador in the municipality of Tocoa, department of Colón, northern Honduras. According to public reports, Juan López was shot by an unidentified person on a motorcycle. We demand the Honduran authorities to ensure a prompt, thorough and impartial investigation into the killing of Juan López, as well as other killings and attacks against the defenders of the Guapinol river, to ensure integral protection to Lopez’s family, CMDBCPT members, their legal team and witnesses. Every year, our global community comes together to fight injustice and support people whose human rights are under threat. Join the Write for Rights campaign and demand justice by calling on decision makers to do the right thing. If you are talented and passionate about human rights then Amnesty International wants to hear from you. © 2024 Amnesty International","['\nAmericas\n', '\nCampaigns\n', '\nDisappearances\n', '\nHonduras\n', '\nHuman Rights Defenders and Activists\n', '\nUrgent Action\n']",,True
0,Colombia: Women searchers needs protection,AI Hungary,https://www.amnesty.org/en/documents/amr23/8695/2024/en/,,"Which language would you like to use this site in? Fundación Nydia Erika Bautista (FNEB) is a women searchers organization that promotes the rights of victims of enforced disappearance and fights impunity. On 24 October, in the context of new information arising regarding the enforced disappearance of Nydia Erika Bautista, in separate events, suspicious activity was recorded during an invitation-only gathering of women searchers and authorities and a hacking attempt against the institutional email of the organization was made. These situations are not new, and authorities need to act to prevent them for happening again. To do so, the Attorney General’s Office must investigate the threats and attacks and, if possible and under rules of due process, bring those responsible to justice. Every year, our global community comes together to fight injustice and support people whose human rights are under threat. Join the Write for Rights campaign and demand justice by calling on decision makers to do the right thing. If you are talented and passionate about human rights then Amnesty International wants to hear from you. © 2024 Amnesty International","['\nAmericas\n', '\nCampaigns\n', '\nColombia\n', '\nDisappearances\n', '\nHuman Rights Defenders and Activists\n', '\nSouth America\n', '\nUrgent Action\n']",,True
0,Why is the Democratic Republic of Congo wracked by conflict?,AI Hungary,https://www.amnesty.org/en/latest/campaigns/2024/10/why-is-the-democratic-republic-of-congo-wracked-by-conflict/,,"Which language would you like to use this site in? The Democratic Republic of Congo’s (DRC) crisis stems from a series of post-colonial battles from power, which began after the country gained independence from Belgium in 1960. Decades of conflict have been fuelled by ethnic tensions, political rivalries, corruption and fighting for control of valuable natural resources.  DRC’s current conflict has been ongoing since the 1990s, particularly in the eastern part of the country which borders South Sudan, Uganda, Rwanda, Burundi and Tanzania. Inter-communal violence regularly breaks out in other regions, as it has been the case recently in central, southern and  western provinces of Kasaï, Tshopo, Mai-Ndombe, Kwilu and Kwango.  There are currently over a hundred active armed groups in the DRC. Many of them are local militias seeking to protect their communities after over three decades of unrest. Loyalties and rivalries between groups are constantly evolving and generally guided by ethnic identities, economic interests and political manipulation.  Poor governance, poor management of post-colonial nation/state building, conflict over land and other natural resources are some of the factors driving the conflict. There are also deep divisions between ethnic groups which are largely the product of the region’s colonial history and historical grievances from almost five decades of nearly continuous unrest.    The colonial legacy continues to affect ethnic tensions in the DRC. Like many African countries, its borders were drawn by European colonial powers, grouping diverse ethnic groups with little regard for historical rivalries. The colonial practice of divide and rule exacerbated these tensions as colonial authorities sought to maintain control over subjugated local populations.   The DRC is rich in natural resources, including coltan, gold, diamonds and cobalt. The exploitation of these minerals is a significant driver of prolonged conflicts between groups. Some armed groups are financed by their control over of these resources.  In 1965, Mobutu Sese Seko seized power in the Congo, that he later renamed Zaire, and went on to rule for another 32 years. His regime was marked by weak governance and high levels of corruption. After the Mobutu regime was overthrown in 1997, armed groups thrived amid local and regional struggles for influence as well as state’s failure to provide essential services and security to the population. The lack of economic opportunities and development pushed many people to join armed groups, further destabilizing the country.  Neighbouring countries, particularly Rwanda and Uganda, have played pivotal roles in the DRC’s conflicts – either backing armed groups or intervening militarily for political, economic, or security reasons. The aftermath of the 1994 genocide in Rwanda against the minority Tutsi, moderate Hutus and members of a third ethnic group, the Twa, had a particularly devastating impact on eastern DRC, contributing to two major conflicts. These were often referred to as the First Congo War (1996–1997) and the Second Congo War (1998–2003). Sometimes called “Africa’s World War”, these conflicts involved numerous African nations and armed groups fighting on Congolese soil.   Impunity for human rights abuses and violations, including war crimes and crimes against humanity, has plagued the region. Perpetrators are rarely held to account. Victims are often denied the justice that is needed to break the vicious cycle of violence that has tormented the people of the DRC.  The DRC and its neighbouring countries across the African Great Lakes region share a long history of brutal violence, exploitation and suffering that dates back to the 16th century.   Slavery and colonization, first under the Belgian King Leopold II and then under the Kingdom of Belgium, was characterized by barbaric violence, including mass abductions and murder, mutilations, extraction and plundering of natural resources and other violations. The colonial power also practised ‘divide and conquer’ tactics, which exacerbated deeply entrenched rifts between communities and ethnic groups. These tensions persisted after even after independence from Belgium in 1960.   In 1994, 800,000 people were slaughtered during the genocide in Rwanda. The genocide was carried out by Hutu-led pro-government militia who targeted members of the Tutsi minority community and anyone who tried to protect them. A Tutsi-led rebellion ended 100 days of massacres by marching on Rwanda’s capital Kigali and pushing millions of Rwandans, including the militia and security forces that committed the genocide to cross the border and seek refuge in DRC, then called Zaire. Soon after, the new Tutsi-led government in Kigali joined forces with the armies of Uganda and Burundi, as well as Congolese armed groups, to invade the DRC and overthrow the Mobutu government.   The wars that followed are known as the First and Second Congo Wars (1996-1997 and 1998-2002). Some of the ongoing major armed conflicts in eastern DRC are a continuation of these wars. Numerous armed groups, arose out of this turmoil. Each of them with constantly evolving alliances and rivalries with the various political powers and state authorities party to the conflict. These interwoven conflicts were marked by a swath of crimes under international law and other human rights violations, including mass killings, enforced disappearances, rapes and other sexual violence, and torture.  The conflicts in the DRC have ignited a human rights catastrophe. Thousands of civilians are caught in the crossfire and sexual violence is rampant. War crimes and crimes against humanity have been documented. Those who survive the violence face mass displacement, hunger, disease and poverty.  Fighting between armed forces in the DRC is often characterized by targeted or indiscriminate attacks that result in mass killings and injuries. More than 6 million people have died as a result of conflict in the DRC since 1998, many of them killed by hunger and disease.   Today, civilians are being killed in intensified fighting across North Kivu province. Casualties include those living in sites for internally displaced persons, which are regularly the targets of bombings.  UN and NGO sources have reported mass rapes and sexual violence in the DRC, mainly against women and children. Some of the victims of these attacks are as young as nine years old. Sexual violence is endemic in the DRC with studies finding that over 1.5 million women in the country have been raped in their lifetime.  Experts, including Nobel Peace Prize winner Denis Mukegwe, describe rampant sexual violence in the DRC as a clear example of rape used as a weapon of war.   Thousands of people have been subjected to torture and other cruel treatment as a result of the fighting in DRC. In 2022, a UN report found that both state authorities and non-state armed groups subjected people to torture.   There are also cases of enforced disappearances or arbitrarily detentions, among other abuses.   Fighting in the DRC has fuelled a humanitarian disaster, with millions forced to flee their home in search of safety. As of April 2024, 7.3 million people have been internally displaced by conflict, making it one of the largest displacement crises in the world.   People living in the areas most impacted by the conflict, including internally displaced people, are isolated from supply routes. This, paired with poor access to healthcare, food and shelter as well as substantial overcrowding and a lack of resources for aid, presents a catastrophic humanitarian crisis.    Despite the presence of valuable resources like cobalt and copper, the DRC is among the five poorest nations in the world. It’s estimated that 74.6 per cent of the country lives on less than US$2.15 per day in 2023.   The lack of economic opportunities is a barrier preventing people’s access to their human rights to healthcare, food and education. It also fuels armed conflicts and intercommunal violence.    Justice and accountability are essential to breaking this cycle of violence. Perpetrators of crimes under international law and other atrocities should be investigated, prosecuted and punished before the courts, whether national or international. Survivors and victims have a right to get justice for what they suffered.  In addition to better access to justice, states must also address historical grievances and ensure they provide and facilitate truth and reparations. Acknowledging the pain of the 6 million victims of DRC’s conflicts and making sure the world hears their stories will serve as a reminder of the true cost of war.    Every year, our global community comes together to fight injustice and support people whose human rights are under threat. Join the Write for Rights campaign and demand justice by calling on decision makers to do the right thing. If you are talented and passionate about human rights then Amnesty International wants to hear from you. © 2024 Amnesty International","['\nAfrica\n', '\nArmed Conflict\n', '\nArmed Groups\n', '\nCampaigns\n', '\nDemocratic Republic of the Congo\n', '\nExploitation of Natural Resources\n', '\nImpunity\n', '\nInternational Justice\n', '\nJustice Systems\n']",,False
0,Mali: Further information: Author activist remains arbitrarily detained: Étienne Sissoko,AI Hungary,https://www.amnesty.org/en/documents/afr37/8672/2024/en/,,"Which language would you like to use this site in? On 14 October, the Bamako Court of Appeal ordered Étienne Sissoko’s provisional release pending his appeal trial on 11 November, but the decision was suspended later the same day, following an appeal filed by the Prosecutor. Étienne Sissoko, a Malian economist and university professor, was convicted on charges of defamation, damaging the state’s reputation and distributing fake news after the publication of a book in which he denounced alleged propaganda in the Malian government’s public information campaign. He was sentenced to two years in prison, with one year suspended, and a fine of XOF 3 million (approximately 4,500 Euros). He must be immediately and unconditionally released. Every year, our global community comes together to fight injustice and support people whose human rights are under threat. Join the Write for Rights campaign and demand justice by calling on decision makers to do the right thing. If you are talented and passionate about human rights then Amnesty International wants to hear from you. © 2024 Amnesty International","['\nAfrica\n', '\nCampaigns\n', '\nCensorship and Freedom of Expression\n', '\nHuman Rights Defenders and Activists\n', '\nMali\n', '\nUnlawful Detention\n', '\nUrgent Action\n']",,True
0,"‘A small fragment hit my son, killing him’: Rohingya refugee tells of terror of intensifying Myanmar conflict",AI Hungary,https://www.amnesty.org/en/latest/campaigns/2024/10/a-small-fragment-hit-my-son-killing-him-rohingya-refugee-tells-of-terror-of-intensifying-myanmar-conflict/,,"Which language would you like to use this site in? New Amnesty research shows the extent of the ongoing suffering of civilians trapped in fighting between the Myanmar military and the Arakan Army in Rakhine State. Here a 42-year-old Rohingya shopkeeper* from Maungdaw Township recounts his family’s desperate efforts to escape and reach a refugee camp across the border in Bangladesh. I never truly wanted to come to Bangladesh.  I lost my youngest son in a bomb blast on 1 August while he was playing outside the house. He was 4 years old and was one of the most loved members of the family. He was playing with his siblings and, being the youngest, he couldn’t run when the sound of the bomb was heard. The bomb struck near our house, and a small fragment hit my son, killing him. We left the village after we performed the funeral rites and buried him. I’m not sure who fired it – whether it was the Myanmar military or the Arakan Army (AA). After my son was killed, I sent my wife and the other children to Bangladesh with her mother’s family. They got a boat and sailed for Bangladesh. However, they were caught by robbers in the sea who took all their belongings.   Some male survivors on the boat were beaten and threatened. The robbers held a knife to my wife’s neck soon after capturing them. She tried to explain, “I have lost everything, including my son, and I fled the violence to save my life. I have nothing left to give you.” But they didn’t listen. They snatched her mobile phone, took her jewelry, and demanded her bag, which contained her clothes.  The family spent the entire night and the next day on the boat without any food, before finally reaching Bangladesh in the evening.  I sent my father’s family [to Bangladesh] on 5 August, the day after I sent my wife and children. I was hoping that the fighting would calm down so I could bring them back to Myanmar.   The situation had become very dangerous. On 6 August, the Arakan Army entered our village and relocated all the Hindu and Buddhist families to a safe area. Then, they began causing unrest [using it as a base to launch attacks] in the village, which forced us, the Muslim families, to leave on 7 August. We were the only ethnic group left in the village. It seemed like they did this intentionally.  I also saw conscripted Rohingya fighting alongside the Myanmar military. The AA was [also] able to conscript Rohingya people because they conscripted all of them from the rural areas where people in those villages could not disobey the orders of the AA.  My remaining relatives and I left our village and went downtown [in Maungdaw], seeking refuge. The AA came downtown and ordered people to leave. There were only a few families left. The AA members came to us and threatened, “If you don’t leave immediately, we will shoot you.”  In the morning of 15 August, I witnessed the AA kill a woman right on the spot with gunfire while she went to a pond to collect water … there was another man who was sitting and smoking in front of his house and he too was shot right in his head and killed. Around 9am the next morning, we left the town on foot. We were part of a group of around 150 people. However, when we tried to make our way to the border, the AA blocked the road. They told us, “You won’t be able to leave today. Go back to where you came from and stay in any house you like.”   We spent the night…covering our mouths and noses because there were dead bodies all over the place. We couldn’t sleep properly, and we had to endure this for five days as all the roads were blocked by the AA.  The AA was conducting investigations and identifying people who had joined the Myanmar military. One day, while I was at a tea shop with a friend, the AA came in and called my friend away. I haven’t heard from him since. I have no idea if he is still alive or if he was killed.  [Myanmar military] fighter jets were flying over the village where we had been stuck for five days, and we could hear the sounds of massive explosions in the nearby villages. I thought to myself, if a bomb were to hit one of the houses here, we would die in groups.  Before we ran out of money we made the decision to leave. The boat started at 10pm. They kept us on an island for two hours. A group of men came with guns. I thought they were Rohingya, they demanded money. I asked who they were, they said “shut up, keep silent.” The boatman negotiated with them and paid.   I arrived in Bangladesh on 25 August. We reached a house and suddenly there was a light from a torch. It was the border guards. We ran, found a pit, and hid there [until it was safe to come out].  All my surviving family members, including my father’s family, are now here in Bangladesh, but we are not living in one place as we don’t have our own shelter. We are staying with relatives.  My last request, since we are not safe here or there: I want to resettle in a third country. I now don’t want to be in Myanmar at all.  *This testimony has been edited for length and clarity. Amnesty’s full findings, including the Arakan Army’s response to allegations, can be found here.  Every year, our global community comes together to fight injustice and support people whose human rights are under threat. Join the Write for Rights campaign and demand justice by calling on decision makers to do the right thing. If you are talented and passionate about human rights then Amnesty International wants to hear from you. © 2024 Amnesty International","['\nArmed Conflict\n', '\nArmed Groups\n', '\nAsia and the Pacific\n', '\nBangladesh\n', '\nBlog Post\n', '\nCampaigns\n', '\nMyanmar\n', '\nRefugees\n', '\nSouth-East Asia and the Pacific\n']",,False
0,Iran: Youth Arrested at 17 at Risk of Imminent Execution: Mohammad Reza Azizi,AI Hungary,https://www.amnesty.org/en/documents/mde13/8673/2024/en/,,"Which language would you like to use this site in? Mohammad Reza Azizi, 21, is at risk of imminent execution in relation to a crime that took place when he was just 17 years old, in violation of international law prohibiting the use of the death penalty against children. His trial was grossly unfair; the court relied on his “confessions” obtained during interrogations without a lawyer present to convict him. Iranian authorities have previously scheduled his execution at least twice, including on 21 October 2024. While his execution was halted following public outcries, he remains under sentence of death and at risk of execution. Every year, our global community comes together to fight injustice and support people whose human rights are under threat. Join the Write for Rights campaign and demand justice by calling on decision makers to do the right thing. If you are talented and passionate about human rights then Amnesty International wants to hear from you. © 2024 Amnesty International","['\nCampaigns\n', '\nChildren\n', '\nDeath Penalty\n', '\nImpunity\n', '\nIran\n', '\nMiddle East and North Africa\n', '\nUnfair Trials\n', '\nUrgent Action\n']",,True
0,Paraguay: Veto anti civil society bill,AI Hungary,https://www.amnesty.org/en/documents/amr45/8361/2024/en/,,"Which language would you like to use this site in? On 9 October the Congress approved the so-called #LeyGarrote that endangers the work for human rights in Paraguay. The bill includes overly broad and ambiguous wordings that increase the control over the work of civil society organisations and result in arbitrary restrictions. We call the President of Paraguay to immediately veto this bill in order to uphold and protect the rights to freedom of association and to defend human rights. Every year, our global community comes together to fight injustice and support people whose human rights are under threat. Join the Write for Rights campaign and demand justice by calling on decision makers to do the right thing. If you are talented and passionate about human rights then Amnesty International wants to hear from you. © 2024 Amnesty International","['\nAmericas\n', '\nCampaigns\n', '\nCensorship and Freedom of Expression\n', '\nFreedom of Association\n', '\nHuman Rights Defenders and Activists\n', '\nParaguay\n', '\nSouth America\n', '\nUrgent Action\n']",,True
0,Paraguay: Veto anti civil society law,AI Hungary,https://www.amnesty.org/en/documents/amr45/8679/2024/en/,,"Which language would you like to use this site in? On 9 October the Congress approved the so-called #LeyGarrote that endangers the work for human rights in Paraguay. The law includes overly broad and ambiguous wordings that increase the control over the work of civil society organisations and result in arbitrary restrictions. We call the President of Paraguay to immediately veto this law in order to uphold and protect the rights to freedom of association and to defend human rights. Every year, our global community comes together to fight injustice and support people whose human rights are under threat. Join the Write for Rights campaign and demand justice by calling on decision makers to do the right thing. If you are talented and passionate about human rights then Amnesty International wants to hear from you. © 2024 Amnesty International","['\nAmericas\n', '\nCampaigns\n', '\nCensorship and Freedom of Expression\n', '\nFreedom of Association\n', '\nHuman Rights Defenders and Activists\n', '\nParaguay\n', '\nSouth America\n', '\nUrgent Action\n']",,True
